sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
AUBANK,LONG,636.2,637.8,895,1431.9999999999186,1230.9043080199185,EOD,2022-05-11 14:35:00+05:30,2022-05-11 15:15:00+05:30
SHRIRAMFIN,LONG,216.75,216.5,2688,-672.0,-877.154650176,EMA50_DYN,2022-05-13 10:40:00+05:30,2022-05-13 14:00:00+05:30
BANKINDIA,LONG,43.2,42.6816,13487,-6991.660799999997,-7195.011674252656,SL,2022-05-13 14:05:00+05:30,2022-05-13 14:20:00+05:30
RECLTD,LONG,86.5,86.5,6269,0.0,-191.123617362,EMA50_DYN,2022-05-16 10:00:00+05:30,2022-05-16 11:25:00+05:30
BALKRISIND,LONG,1987.35,2006.5667500000002,272,5226.956000000075,5034.938738133618,TSL,2022-05-16 11:30:00+05:30,2022-05-16 12:20:00+05:30
APOLLOTYRE,LONG,209.1,210.3,2593,3111.600000000044,2919.611208850844,EOD,2022-05-16 12:25:00+05:30,2022-05-16 15:15:00+05:30
SRF,SHORT,2296.6,2308.0829999999996,253,-2905.198999999929,-3110.819183078503,SL,2022-05-19 11:35:00+05:30,2022-05-19 12:05:00+05:30
TATAPOWER,SHORT,228.6,228.18525,2542,1054.2944999999947,849.7859863551517,TSL,2022-05-19 12:10:00+05:30,2022-05-19 13:15:00+05:30
IDFCFIRSTB,SHORT,35.05,35.0,16579,828.9499999999529,624.3795421772529,EOD,2022-05-19 14:15:00+05:30,2022-05-19 15:15:00+05:30
BALKRISIND,LONG,2133.3,2114.05,268,-5159.0,-5359.0287682948,EMA50_DYN,2022-05-20 10:45:00+05:30,2022-05-20 11:30:00+05:30
AUBANK,LONG,648.8,654.7,883,5209.700000000081,5006.292481147081,EOD,2022-05-20 11:35:00+05:30,2022-05-20 15:15:00+05:30
IDEA,LONG,9.2,9.15,62083,-3104.1499999999337,-3304.5692647092337,EMA50_DYN,2022-05-23 10:00:00+05:30,2022-05-23 12:00:00+05:30
AUBANK,LONG,672.3,671.1,849,-1018.7999999999421,-1219.681897131542,EMA50_DYN,2022-05-23 12:05:00+05:30,2022-05-23 14:40:00+05:30
BATAINDIA,LONG,1743.85,1740.2,314,-1146.0999999999572,-1338.7637103241573,EMA50_DYN,2022-05-26 10:50:00+05:30,2022-05-26 11:35:00+05:30
SAIL,LONG,71.1,72.38625,7715,9923.418750000075,9727.245623046938,TSL,2022-05-26 11:40:00+05:30,2022-05-26 12:25:00+05:30
BANKBARODA,LONG,87.45,88.60475,6272,7242.591999999955,7047.203853209363,TSL,2022-05-26 12:30:00+05:30,2022-05-26 13:50:00+05:30
APOLLOTYRE,LONG,212.75,213.8,2578,2706.900000000029,2512.816042626629,EOD,2022-05-26 13:55:00+05:30,2022-05-26 15:15:00+05:30
AUBANK,LONG,663.65,657.85,961,-5573.7999999999565,-5796.987117298957,EMA50_DYN,2022-05-27 10:30:00+05:30,2022-05-27 13:35:00+05:30
BANKINDIA,LONG,46.95,47.0,13595,679.7499999999613,454.59052494346133,EOD,2022-05-27 13:40:00+05:30,2022-05-27 15:15:00+05:30
TORNTPOWER,LONG,437.55,452.86424999999997,1047,16034.019749999956,15867.966901550792,PARTIAL_PROFIT,2022-05-30 10:20:00+05:30,2022-05-30 13:30:00+05:30
TORNTPOWER,LONG,437.55,446.755,350,3221.7499999999945,3166.8524709744947,TSL,2022-05-30 10:20:00+05:30,2022-05-30 13:35:00+05:30
BANKBARODA,LONG,93.8,94.0,6520,1304.0000000000186,1088.0755769440186,EOD,2022-05-30 13:40:00+05:30,2022-05-30 15:15:00+05:30
BATAINDIA,LONG,1858.9,1854.25,383,-1780.9500000000348,-2031.371513537735,EMA50_DYN,2022-06-03 11:55:00+05:30,2022-06-03 12:35:00+05:30
MFSL,LONG,810.95,808.3,878,-2326.70000000008,-2576.98483153908,EMA50_DYN,2022-06-03 14:15:00+05:30,2022-06-03 14:50:00+05:30
AUBANK,SHORT,588.85,587.6235,1170,1435.004999999985,1192.5923443071151,TSL,2022-06-13 12:20:00+05:30,2022-06-13 12:40:00+05:30
ASHOKLEY,SHORT,63.5,63.4,10852,1085.2000000000155,842.6352343512156,EOD,2022-06-13 12:50:00+05:30,2022-06-13 15:15:00+05:30
SUNTV,LONG,418.0,415.45,1673,-4266.150000000019,-4511.403534878119,EMA50_DYN,2022-06-16 10:50:00+05:30,2022-06-16 12:10:00+05:30
ESCORTS,LONG,1501.05,1510.95,450,4455.000000000041,4215.6532296000405,EOD,2022-06-21 10:35:00+05:30,2022-06-21 15:15:00+05:30
MANAPPURAM,LONG,86.05,87.56,8109,12244.590000000042,11995.151517271303,TSL,2022-06-24 10:55:00+05:30,2022-06-24 13:25:00+05:30
BANKINDIA,LONG,44.65,45.222750000000005,15629,8951.5097500001,8702.994306618195,TSL,2022-06-24 13:30:00+05:30,2022-06-24 15:00:00+05:30
PFC,LONG,83.3,83.15,9619,-1442.849999999918,-1724.843659956218,EMA50_DYN,2022-06-27 11:00:00+05:30,2022-06-27 14:40:00+05:30
GMRAIRPORT,LONG,35.15,34.85,22797,-6839.099999999935,-7119.567387539935,EMA50_DYN,2022-06-27 14:45:00+05:30,2022-06-27 15:10:00+05:30
BEL,LONG,79.0,78.25,9583,-7187.25,-7452.0190759455,EMA50_DYN,2022-07-07 10:50:00+05:30,2022-07-07 14:15:00+05:30
CUMMINSIND,LONG,1121.4,1129.55,675,5501.249999999908,5232.888620077408,EOD,2022-07-07 14:30:00+05:30,2022-07-07 15:15:00+05:30
COFORGE,LONG,729.0,725.0,1023,-4092.0,-4353.675833892,EMA50_DYN,2022-07-08 10:20:00+05:30,2022-07-08 10:50:00+05:30
