Date,Symbol,Type,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL_Pct,Reason,Weight,Net_PnL,ExitReason,FinalExitTime,Pos_Size_INR,Gross_PnL_INR,Tax_INR,Net_PnL_INR,Running_Capital
2026-05-11,HDFCBANK.NS,SHORT,2026-05-11 10:15:00+05:30,769.0,2026-05-11 15:00:00+05:30,765.155,0.5000000000000036,PT_75,0.75,0.5733086991527172,PT_75 | EOD,2026-05-11 15:15:00+05:30,178054.19868645028,1020.8002102760826,62.67624961385423,958.1239606622283,107790.64317253241
2026-05-11,MARUTI.NS,SHORT,2026-05-11 13:10:00+05:30,13543.0,2026-05-11 15:15:00+05:30,13475.285,0.500000000000001,PT_75,0.75,0.5079099904009459,PT_75 | EOD,2026-05-11 15:15:00+05:30,179651.07195422068,912.4657423178786,63.19723819378849,849.2685041240901,108639.9116766565
2026-05-11,BAJFINANCE.NS,SHORT,2026-05-11 14:15:00+05:30,946.6500244140625,2026-05-11 14:15:00+05:30,941.9167742919922,0.5000000000000019,PT_75,0.75,0.6734220286456793,PT_75 | EOD,2026-05-11 15:15:00+05:30,181066.51946109417,1219.341828553024,63.80005145137652,1155.5417771016475,109795.45345375815
2026-05-20,INDUSINDBK.NS,SHORT,2026-05-20 13:15:00+05:30,884.4500122070312,2026-05-20 15:15:00+05:30,897.7000122070312,-1.4981061469982153,EOD,1.0,-1.4981061469982153,EOD,2026-05-20 15:15:00+05:30,182992.42242293025,-2741.4207288588586,63.08785059292499,-2804.5085794517836,106990.94487430637
2026-05-20,HEROMOTOCO.NS,SHORT,2026-05-20 13:30:00+05:30,4954.0,2026-05-20 15:15:00+05:30,4964.0,-0.20185708518368994,EOD,1.0,-0.20185708518368994,EOD,2026-05-20 15:15:00+05:30,178318.2414571773,-359.94800455627234,62.28540270841736,-422.2334072646897,106568.71146704168
2026-06-02,BHARTIARTL.NS,SHORT,2026-06-02 10:15:00+05:30,1782.0,2026-06-02 15:15:00+05:30,1814.0,-1.7957351290684627,EOD,1.0,-1.7957351290684627,EOD,2026-06-02 15:15:00+05:30,177614.51911173612,-3189.486314015464,61.048761479202234,-3250.535075494666,103318.17639154701
2026-06-02,POWERGRID.NS,SHORT,2026-06-02 10:15:00+05:30,281.0,2026-06-02 11:50:00+05:30,279.59499999999997,0.5000000000000105,PT_75,0.75,0.23710073016293048,PT_75 | EOD,2026-06-02 15:15:00+05:30,172196.96065257836,408.2802510256374,60.4118343162614,347.86841670937605,103666.04480825638
2026-06-02,ULTRACEMCO.NS,SHORT,2026-06-02 10:15:00+05:30,11097.0,2026-06-02 15:15:00+05:30,11173.0,-0.6848697846264756,EOD,1.0,-0.6848697846264756,EOD,2026-06-02 15:15:00+05:30,172776.74134709398,-1183.2956963484853,60.057705977760925,-1243.3534023262462,102422.69140593013
2026-06-08,M&M.NS,SHORT,2026-06-08 13:40:00+05:30,2979.800048828125,2026-06-08 14:35:00+05:30,2964.9010485839844,0.49999999999999756,PT_75,0.75,0.41611136992481995,PT_75 | EOD,2026-06-08 15:15:00+05:30,170704.48567655022,710.3207738718112,59.99518225764771,650.3255916141635,103073.0169975443
2026-06-08,TATASTEEL.NS,SHORT,2026-06-08 13:45:00+05:30,203.0500030517578,2026-06-08 15:15:00+05:30,202.97999572753906,0.03447787400471253,EOD,1.0,0.03447787400471253,EOD,2026-06-08 15:15:00+05:30,171788.36166257385,59.22897488878209,60.14665672311192,-0.9176818343298265,103072.09931570997
2026-06-08,ADANIPORTS.NS,SHORT,2026-06-08 13:55:00+05:30,1816.800048828125,2026-06-08 15:00:00+05:30,1807.7160485839843,0.5000000000000054,PT_75,0.75,0.5098531561638626,PT_75 | EOD,2026-06-08 15:15:00+05:30,171786.83219284995,875.8605858091639,60.431942472530686,815.4286433366333,103887.52795904661
