symbol,month,type,pnl,stt,exit_reason
CIPLA,2025-11,SHORT,526.4196880963797,125.0,PROFIT_TARGET
CIPLA,2025-11,SHORT,-296.42316052963935,125.0,STOP_LOSS
CIPLA,2025-11,LONG,41.145490454246215,125.04114549045426,PARTIAL_PROFIT
CIPLA,2025-11,LONG,641.8696510862185,375.6418696510862,EMA50_EXIT
CIPLA,2025-11,SHORT,625.00000000003,125.00000000000001,PROFIT_TARGET
CIPLA,2025-11,SHORT,1053.9490152163291,125.0,PROFIT_TARGET
CIPLA,2025-11,LONG,-132.56445946844667,499.8674355405316,STOP_LOSS
CIPLA,2025-11,LONG,344.7596532702953,125.3447596532703,PARTIAL_PROFIT
CIPLA,2025-11,LONG,-123.12844759653271,374.8768715524035,STOP_LOSS
CIPLA,2025-11,LONG,74.16930379747585,125.07416930379748,PARTIAL_PROFIT
CIPLA,2025-11,LONG,-148.33860759491424,374.8516613924051,STOP_LOSS
CIPLA,2025-11,SHORT,-230.84025854110456,125.0,STOP_LOSS
CIPLA,2025-11,SHORT,922.8740936057859,124.99999999999999,PROFIT_TARGET
CIPLA,2025-11,SHORT,231.14515915996745,124.99999999999999,PROFIT_TARGET
CIPLA,2025-11,SHORT,330.3600925008259,125.0,PROFIT_TARGET
CIPLA,2025-11,SHORT,331.08197589723216,125.0,PROFIT_TARGET
CIPLA,2025-11,SHORT,265.0410813675969,125.0,PROFIT_TARGET
CIPLA,2025-11,LONG,66.51589729945078,125.06651589729945,PARTIAL_PROFIT
CIPLA,2025-11,LONG,-299.3215378475569,374.70067846215244,STOP_LOSS
CIPLA,2025-11,SHORT,295.37249753859237,125.0,PROFIT_TARGET
CIPLA,2025-11,SHORT,-459.7399185603872,125.0,STOP_LOSS
CIPLA,2025-11,SHORT,-492.772667542707,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-591.793792740648,125.00000000000001,STOP_LOSS
CIPLA,2025-12,SHORT,197.27756954038813,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-1019.6697585685602,125.0,STOP_LOSS
CIPLA,2025-12,LONG,82.39404126293587,125.08239404126294,PARTIAL_PROFIT
CIPLA,2025-12,LONG,-173.02748665212036,374.82697251334787,STOP_LOSS
CIPLA,2025-12,SHORT,-66.02403274793527,125.0,STOP_LOSS
CIPLA,2025-12,LONG,-166.52234729900752,499.833477652701,STOP_LOSS
CIPLA,2025-12,LONG,-967.3760757889421,499.03262392421107,STOP_LOSS
CIPLA,2025-12,LONG,300.5811235054553,125.30058112350548,PARTIAL_PROFIT
CIPLA,2025-12,LONG,2329.5037071672355,377.32950370716725,EMA50_EXIT
CIPLA,2025-12,SHORT,-431.06306784268,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-33.50308228353961,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-100.62386798146996,125.0,STOP_LOSS
CIPLA,2025-12,LONG,-301.81086519117736,499.69818913480884,STOP_LOSS
CIPLA,2025-12,SHORT,570.4315146633844,125.0,PROFIT_TARGET
CIPLA,2025-12,LONG,117.5206500570891,125.11752065005709,PARTIAL_PROFIT
CIPLA,2025-12,LONG,503.65992881606337,375.50365992881603,EOD
CIPLA,2025-12,SHORT,-33.561551886205,125.00000000000001,STOP_LOSS
CIPLA,2025-12,SHORT,1241.8607773377341,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,LONG,191.6538897406991,125.19165388974069,PARTIAL_PROFIT
CIPLA,2025-12,LONG,2574.8283447770605,377.5748283447771,EMA50_EXIT
CIPLA,2025-12,SHORT,-66.45401382244998,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-33.33111125929486,124.99999999999999,STOP_LOSS
CIPLA,2025-12,SHORT,400.58752837496513,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-100.38816758129919,124.99999999999999,STOP_LOSS
CIPLA,2025-12,SHORT,-33.491861477630465,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-67.01963675358404,124.99999999999999,STOP_LOSS
CIPLA,2025-12,SHORT,-467.60187040751197,124.99999999999999,STOP_LOSS
CIPLA,2025-12,SHORT,133.62731342289402,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,367.5733475906934,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-100.3210272873042,124.99999999999999,STOP_LOSS
CIPLA,2025-12,SHORT,-297.9145978153231,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,429.66684294022826,125.00000000000001,PROFIT_TARGET
CIPLA,2025-12,SHORT,-363.8769434336451,125.00000000000001,STOP_LOSS
CIPLA,2025-12,SHORT,198.7676406280756,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,165.70557433552065,125.00000000000001,PROFIT_TARGET
CIPLA,2025-12,SHORT,464.1294258056262,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,132.73161667104577,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,LONG,-531.3849219528095,499.4686150780472,STOP_LOSS
CIPLA,2025-12,LONG,83.08408109006314,125.08308408109006,PARTIAL_PROFIT
CIPLA,2025-12,LONG,-199.4017946161402,374.80059820538384,STOP_LOSS
CIPLA,2025-12,SHORT,534.7236147316053,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-33.45600535293043,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,133.87776959638896,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,133.91362571144657,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,368.3611278547683,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,-670.2412868632708,125.00000000000001,STOP_LOSS
CIPLA,2025-12,SHORT,167.6839492923737,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,-637.4127750938886,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,166.333998669328,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,499.16805324459233,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-66.62225183212708,125.00000000000001,STOP_LOSS
