filter_type,threshold,exit_rule,trades,win_rate,gross_pnl,stt,net_return,sl_hits
ema21,0.005,high1,17,41.17647058823529,1079.504638977572,2970.757724490356,-1.8912530855127836,8
ema21,0.006,none,20,35.0,-3544.053842772746,3489.925718218994,-7.033979560991741,11
ema21,0.006,ema21,26,30.76923076923077,7092.593784179884,4538.962760264587,2.553631023915297,5
ema21,0.006,ema9,37,32.432432432432435,7487.26567810067,6458.576735623933,1.028688942476737,1
ema21,0.006,high2,48,31.25,-899.9956515501103,8378.969297940826,-9.278964949490936,3
ema21,0.006,high1,20,35.0,-3544.053842772746,3489.925718218994,-7.033979560991741,11
ema21,0.007,none,20,35.0,-3045.7889930718557,3490.5813269332884,-6.536370320005144,11
ema21,0.007,ema21,26,34.61538461538461,9115.802048797857,4539.618368978881,4.576183679818976,6
ema21,0.007,ema9,36,41.66666666666667,17387.206501922767,6285.963286593629,11.101243215329138,2
ema21,0.007,high2,48,35.41666666666667,5843.472854309264,8380.692465951539,-2.5372196116422745,3
ema21,0.007,high1,20,35.0,-3045.7889930718557,3490.5813269332884,-6.536370320005144,11
ema21,0.008,none,19,36.84210526315789,2454.9097872931357,3317.646626443481,-0.8627368391503455,10
ema21,0.008,ema21,24,37.5,16963.57132843048,4192.081641389465,12.771489687041015,6
ema21,0.008,ema9,36,38.88888888888889,15320.396069793836,6288.712519343568,9.03168355045027,2
ema21,0.008,high2,53,35.84905660377358,7030.007423400977,9251.669287002565,-2.221661863601588,2
ema21,0.008,high1,19,36.84210526315789,2454.9097872931357,3317.646626443481,-0.8627368391503455,10
ema21,0.009,none,20,35.0,5846.23780258244,3492.4756045639047,2.3537621980185355,11
ema21,0.009,ema21,25,36.0,11811.883336639756,4366.940112937928,7.444943223701827,8
ema21,0.009,ema9,35,40.0,21855.364527587968,6112.588815867615,15.742775711720352,1
ema21,0.009,high2,56,32.142857142857146,5051.611610412696,9778.149871138005,-4.726538260725309,2
ema21,0.009,high1,20,35.0,5846.23780258244,3492.4756045639047,2.3537621980185355,11
ema21,0.01,none,20,35.0,5843.479062958446,3492.6687163375864,2.3508103466208596,11
ema21,0.01,ema21,25,36.0,12936.222513275456,4367.133224711609,8.569089288563845,7
ema21,0.01,ema9,36,38.88888888888889,18492.06814086928,6289.213605033876,12.202854535835405,3
ema21,0.01,high2,57,33.33333333333333,3732.2682632448305,9953.508213502504,-6.221239950257674,3
ema21,0.01,high1,20,35.0,5843.479062958446,3492.6687163375864,2.3508103466208596,11
ema21,0.011,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.011,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.011,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.011,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.011,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.012,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.012,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.012,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.012,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.012,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.013,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.013,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.013,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.013,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.013,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.014,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.014,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.014,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.014,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.014,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.015,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.015,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.015,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.015,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.015,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.02,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema21,0.02,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema21,0.02,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema21,0.02,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema21,0.02,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.0,none,0,0.0,0.0,0.0,0.0,0
ema9,0.0,ema21,0,0.0,0.0,0.0,0.0,0
ema9,0.0,ema9,0,0.0,0.0,0.0,0.0,0
ema9,0.0,high2,0,0.0,0.0,0.0,0.0,0
ema9,0.0,high1,0,0.0,0.0,0.0,0.0,0
ema9,0.001,none,3,0.0,-7490.705079345556,524.3493555541992,-8.015054434899756,3
ema9,0.001,ema21,3,0.0,-3346.569580078125,524.3493555541992,-3.870918935632324,0
ema9,0.001,ema9,3,0.0,-2297.0537109375,524.3493555541992,-2.821403066491699,0
ema9,0.001,high2,3,0.0,-1492.46826171875,524.3493555541992,-2.016817617272949,0
ema9,0.001,high1,3,0.0,-7490.705079345556,524.3493555541992,-8.015054434899756,3
ema9,0.002,none,16,50.0,10179.715476074598,2797.0754224731445,7.382640053601454,7
ema9,0.002,ema21,17,47.05882352941176,15171.98251342781,2972.006479394531,12.19997603403328,2
ema9,0.002,ema9,22,36.36363636363637,3763.645263671875,3845.141746899414,-0.08149648322753911,0
ema9,0.002,high2,26,30.76923076923077,885.35791015625,4541.847227404786,-3.656489317248536,0
ema9,0.002,high1,16,50.0,10179.715476074598,2797.0754224731445,7.382640053601454,7
ema9,0.003,none,18,38.88888888888889,14257.470084229088,3140.2868672058107,11.117183217023276,9
ema9,0.003,ema21,25,28.000000000000004,11895.290714111525,4362.459144232177,7.532831569879347,5
ema9,0.003,ema9,34,38.23529411764706,15642.364334106445,5936.290072353364,9.70607426175308,0
ema9,0.003,high2,44,38.63636363636363,14565.878148193384,7680.075309529876,6.8858028386635075,1
ema9,0.003,high1,18,38.88888888888889,14257.470084229088,3140.2868672058107,11.117183217023276,9
ema9,0.004,none,18,38.88888888888889,13276.227853851873,3143.2010086807254,10.133026845171148,9
ema9,0.004,ema21,23,39.130434782608695,19241.87338790919,4017.6655170547488,15.224207870854439,6
ema9,0.004,ema9,33,39.39393939393939,20348.380946045072,5764.939173725892,14.58344177231918,2
ema9,0.004,high2,55,36.36363636363637,10082.114951477222,9603.058369572453,0.4790565819047697,3
ema9,0.004,high1,18,38.88888888888889,13276.227853851873,3143.2010086807254,10.133026845171148,9
ema9,0.005,none,18,38.88888888888889,9906.355140228883,3142.978956944275,6.763376183284608,9
ema9,0.005,ema21,24,41.66666666666667,18986.72208602928,4192.404305564881,14.7943177804644,5
ema9,0.005,ema9,35,42.857142857142854,22939.66775024428,6114.2801084945695,16.82538764174971,2
ema9,0.005,high2,57,35.08771929824561,6386.509696350269,9952.433863764956,-3.5659241674146873,3
ema9,0.005,high1,18,38.88888888888889,9906.355140228883,3142.978956944275,6.763376183284608,9
ema9,0.006,none,21,33.33333333333333,3348.463062592302,3667.319836363221,-0.3188567737709191,12
ema9,0.006,ema21,26,38.46153846153847,12495.522513275513,4541.784344737243,7.95373816853827,8
ema9,0.006,ema9,37,40.54054054054054,18044.768287353712,6463.864725059511,11.580903562294202,4
ema9,0.006,high2,58,34.48275862068966,3284.968409729263,10128.15933352814,-6.843190923798876,4
ema9,0.006,high1,21,33.33333333333333,3348.463062592302,3667.319836363221,-0.3188567737709191,12
ema9,0.007,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.007,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.007,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema9,0.007,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.007,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.008,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.008,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.008,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
