sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
BALKRISIND,LONG,1962.75,1944.85,308,-5513.200000000028,-5724.688729020828,EMA50_DYN,2022-05-11 11:40:00+05:30,2022-05-11 13:10:00+05:30,2022-05-11,2022,2022-05
GODREJPROP,LONG,1374.0,1390.811,441,7413.650999999965,7197.96637016084,TSL,2022-05-11 13:40:00+05:30,2022-05-11 14:30:00+05:30,2022-05-11,2022,2022-05
AUBANK,LONG,636.2,637.8,952,1523.1999999999134,1309.2970963519133,EOD,2022-05-11 14:35:00+05:30,2022-05-11 15:15:00+05:30,2022-05-11,2022,2022-05
SHRIRAMFIN,LONG,216.75,216.5,2861,-715.25,-933.6084278845001,EMA50_DYN,2022-05-13 10:40:00+05:30,2022-05-13 14:00:00+05:30,2022-05-13,2022,2022-05
BANKINDIA,LONG,43.2,42.6816,14354,-7441.113599999996,-7657.536707364323,SL,2022-05-13 14:05:00+05:30,2022-05-13 14:20:00+05:30,2022-05-13,2022,2022-05
RECLTD,LONG,86.5,86.5,6672,0.0,-203.40991785600002,EMA50_DYN,2022-05-16 10:00:00+05:30,2022-05-16 11:25:00+05:30,2022-05-16,2022,2022-05
BALKRISIND,LONG,1987.35,2006.5667500000002,290,5572.85750000008,5368.133213451285,TSL,2022-05-16 11:30:00+05:30,2022-05-16 12:20:00+05:30,2022-05-16,2022,2022-05
APOLLOTYRE,LONG,209.1,210.3,2760,3312.0000000000473,3107.6463310560475,EOD,2022-05-16 12:25:00+05:30,2022-05-16 15:15:00+05:30,2022-05-16,2022,2022-05
SAIL,SHORT,80.6,80.50049999999999,7674,763.5630000000472,545.7813897544852,TSL,2022-05-19 11:55:00+05:30,2022-05-19 13:20:00+05:30,2022-05-19,2022,2022-05
IDFCFIRSTB,SHORT,35.05,35.0,17647,882.3499999999499,664.6013499488499,EOD,2022-05-19 14:15:00+05:30,2022-05-19 15:15:00+05:30,2022-05-19,2022,2022-05
BALKRISIND,LONG,2133.3,2114.05,292,-5621.0,-5838.9417923212,EMA50_DYN,2022-05-20 10:45:00+05:30,2022-05-20 11:30:00+05:30,2022-05-20,2022,2022-05
AUBANK,LONG,648.8,654.7,962,5675.8000000000875,5454.194073458088,EOD,2022-05-20 11:35:00+05:30,2022-05-20 15:15:00+05:30,2022-05-20,2022,2022-05
