sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
MFSL,LONG,732.5,728.5,597,-2388.0,-2541.444633042,EMA50_DYN,2022-05-05 10:30:00+05:30,2022-05-05 13:05:00+05:30
APOLLOTYRE,LONG,203.25,202.2,2154,-2261.7000000000244,-2415.3563044818243,EMA50_DYN,2022-05-05 13:10:00+05:30,2022-05-05 13:55:00+05:30
SRF,SHORT,2299.0,2310.495,179,-2057.6049999999805,-2203.2353395407104,SL,2022-05-06 11:20:00+05:30,2022-05-06 11:20:00+05:30
GODREJPROP,SHORT,1422.0,1429.11,290,-2061.899999999971,-2207.834325149371,SL,2022-05-06 12:40:00+05:30,2022-05-06 12:45:00+05:30
GODREJPROP,SHORT,1416.05,1423.1302499999997,291,-2060.3527499999273,-2206.1775660147487,SL,2022-05-06 13:10:00+05:30,2022-05-06 13:25:00+05:30
BALKRISIND,LONG,1962.75,1943.1225,193,-3788.1075000000105,-3920.5358516017154,SL,2022-05-11 11:40:00+05:30,2022-05-11 13:05:00+05:30
GODREJPROP,LONG,1374.0,1386.6176,276,3482.4576000000106,3347.802572842993,TSL,2022-05-11 13:40:00+05:30,2022-05-11 14:30:00+05:30
AUBANK,LONG,636.2,637.8,597,955.1999999999457,821.0613093719458,EOD,2022-05-11 14:35:00+05:30,2022-05-11 15:15:00+05:30
BANKBARODA,SHORT,90.4,90.2664,4216,563.2576000000054,429.0900570370229,TSL,2022-05-12 11:05:00+05:30,2022-05-12 13:15:00+05:30
SHRIRAMFIN,LONG,216.75,216.5,1768,-442.0,-576.9380288360001,EMA50_DYN,2022-05-13 10:40:00+05:30,2022-05-13 14:00:00+05:30
BANKINDIA,LONG,43.2,42.768,8873,-3833.136000000019,-3967.138501762483,SL,2022-05-13 14:05:00+05:30,2022-05-13 14:10:00+05:30
UNIONBANK,LONG,32.95,32.6205,11634,-3833.4030000000353,-3967.414835808557,SL,2022-05-13 14:15:00+05:30,2022-05-13 14:35:00+05:30
RECLTD,LONG,86.5,86.5,3939,0.0,-120.08867902200001,EMA50_DYN,2022-05-16 10:00:00+05:30,2022-05-16 11:25:00+05:30
BALKRISIND,LONG,1987.35,2000.5168,171,2251.5228000000334,2131.1021781788804,TSL,2022-05-16 11:30:00+05:30,2022-05-16 12:25:00+05:30
APOLLOTYRE,LONG,208.6,210.3,1633,2776.1000000000276,2655.2448194038275,EOD,2022-05-16 12:30:00+05:30,2022-05-16 15:15:00+05:30
SRF,SHORT,2296.6,2308.0829999999996,158,-1814.3139999999557,-1942.7250234245198,SL,2022-05-19 11:35:00+05:30,2022-05-19 12:05:00+05:30
TATAPOWER,SHORT,228.6,228.5,1592,159.19999999999095,30.977287876790967,EOD,2022-05-19 12:10:00+05:30,2022-05-19 15:15:00+05:30
BALKRISIND,LONG,2133.3,2114.05,166,-3195.5,-3319.3984161826,EMA50_DYN,2022-05-20 10:45:00+05:30,2022-05-20 11:30:00+05:30
AUBANK,LONG,648.8,654.7,546,3221.4000000000497,3095.6236633140497,EOD,2022-05-20 11:35:00+05:30,2022-05-20 15:15:00+05:30
IDEA,LONG,9.2,9.107999999999999,38417,-3534.36400000002,-3657.921739182556,SL,2022-05-23 10:00:00+05:30,2022-05-23 11:45:00+05:30
AUBANK,LONG,672.65,671.1,525,-813.7499999999761,-937.9824234374761,EMA50_DYN,2022-05-23 11:50:00+05:30,2022-05-23 14:40:00+05:30
BATAINDIA,LONG,1743.85,1740.2,189,-689.8499999999742,-805.8163734116742,EMA50_DYN,2022-05-26 10:50:00+05:30,2022-05-26 11:35:00+05:30
