sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
TATAPOWER,SHORT,221.15,220.24575,452,408.72100000000853,373.60695514735454,TSL,2022-06-13 12:50:00+05:30,2022-06-13 14:30:00+05:30,2022-06-13,2022,2022-06
SUNTV,LONG,418.0,415.45,239,-609.4500000000028,-644.4862192683028,EMA50_DYN,2022-06-16 10:50:00+05:30,2022-06-16 12:10:00+05:30,2022-06-16,2022,2022-06
ESCORTS,LONG,1501.05,1510.95,66,653.400000000006,618.295807008006,EOD,2022-06-21 10:35:00+05:30,2022-06-21 15:15:00+05:30,2022-06-21,2022,2022-06
MANAPPURAM,LONG,86.05,87.56,1162,1754.620000000006,1718.876071410686,TSL,2022-06-24 10:55:00+05:30,2022-06-24 13:25:00+05:30,2022-06-24,2022,2022-06
BANKINDIA,LONG,44.65,45.222750000000005,2239,1282.387250000014,1246.7850951767955,TSL,2022-06-24 13:30:00+05:30,2022-06-24 15:00:00+05:30,2022-06-24,2022,2022-06
PFC,LONG,83.3,83.15,1200,-179.99999999998977,-215.17958123998977,EMA50_DYN,2022-06-27 11:00:00+05:30,2022-06-27 14:40:00+05:30,2022-06-27,2022,2022-06
GMRAIRPORT,LONG,35.15,34.85,2844,-853.1999999999919,-888.1892200799919,EMA50_DYN,2022-06-27 14:45:00+05:30,2022-06-27 15:10:00+05:30,2022-06-27,2022,2022-06
BEL,LONG,79.0,78.25,1265,-948.75,-983.7007337025,EMA50_DYN,2022-07-07 10:50:00+05:30,2022-07-07 14:15:00+05:30,2022-07-07,2022,2022-07
CUMMINSIND,LONG,1121.4,1129.55,89,725.3499999999879,689.9660550916878,EOD,2022-07-07 14:30:00+05:30,2022-07-07 15:15:00+05:30,2022-07-07,2022,2022-07
COFORGE,LONG,729.0,725.0,137,-548.0,-583.043586748,EMA50_DYN,2022-07-08 10:20:00+05:30,2022-07-08 10:50:00+05:30,2022-07-08,2022,2022-07
BATAINDIA,LONG,1795.25,1790.0,55,-288.75,-323.4680221575,EMA50_DYN,2022-07-08 11:15:00+05:30,2022-07-08 12:05:00+05:30,2022-07-08,2022,2022-07
GLENMARK,LONG,395.0,391.95,253,-771.6500000000028,-806.6514243271029,EMA50_DYN,2022-07-08 12:10:00+05:30,2022-07-08 13:10:00+05:30,2022-07-08,2022,2022-07
APOLLOTYRE,LONG,204.35,203.15,489,-586.7999999999945,-621.8515664549946,EOD,2022-07-08 13:15:00+05:30,2022-07-08 15:15:00+05:30,2022-07-08,2022,2022-07
VOLTAS,LONG,978.95,988.5325,102,977.4149999999981,941.9418841034081,TSL,2022-07-13 11:05:00+05:30,2022-07-13 14:25:00+05:30,2022-07-13,2022,2022-07
JINDALSTEL,LONG,355.5,356.6,281,309.1000000000064,273.8031587774064,EOD,2022-07-13 14:30:00+05:30,2022-07-13 15:15:00+05:30,2022-07-13,2022,2022-07
